field,group,kind,tp,fp,fn,gold_positive,pred_positive,precision,recall,f1,documents,exact_documents,exact_match_rate
case_amount,primary,scalar,7,2,3,10,9,0.7777777777777778,0.7,0.7368421052631577,10,7,0.7
judicial_analysis.contract_validity,primary,scalar,8,2,2,10,10,0.8,0.8,0.8000000000000002,10,8,0.8
virtual_currency_info.activity_types,primary,list,7,3,8,15,10,0.7,0.4666666666666667,0.56,10,3,0.3
case_amount_type,secondary,scalar,6,3,4,10,9,0.6666666666666666,0.6,0.631578947368421,10,6,0.6
metadata.court_level,secondary,scalar,10,0,0,10,10,1.0,1.0,1.0,10,10,1.0
metadata.judgment_date,secondary,scalar,10,0,0,10,10,1.0,1.0,1.0,10,10,1.0
metadata.region,secondary,scalar,10,0,0,10,10,1.0,1.0,1.0,10,10,1.0
case_profile.case_type_primary,secondary,scalar,10,0,0,10,10,1.0,1.0,1.0,10,10,1.0
case_profile.case_type_secondary,secondary,scalar,9,1,1,10,10,0.9,0.9,0.9,10,9,0.9
case_profile.procedure_stage,secondary,scalar,10,0,0,10,10,1.0,1.0,1.0,10,10,1.0
case_profile.is_appeal,secondary,scalar,10,0,0,10,10,1.0,1.0,1.0,10,10,1.0
virtual_currency_info.currency_types,secondary,list,12,0,6,18,12,1.0,0.6666666666666666,0.8,10,5,0.5
judicial_analysis.legal_characterization,secondary,scalar,5,4,4,9,9,0.5555555555555556,0.5555555555555556,0.5555555555555556,10,6,0.6
judicial_analysis.virtual_currency_property_status,secondary,scalar,10,0,0,10,10,1.0,1.0,1.0,10,10,1.0
judicial_analysis.transaction_legality_assessment,secondary,scalar,4,6,6,10,10,0.4,0.4,0.4000000000000001,10,4,0.4
judicial_analysis.reasons_for_invalidity_or_no_protection,secondary,list,1,1,7,8,2,0.5,0.125,0.2,10,5,0.5
judicial_analysis.cited_policies,secondary,list,0,1,1,1,1,0.0,0.0,0.0,10,9,0.9
judicial_analysis.policy_labels,secondary,list,1,0,0,1,1,1.0,1.0,1.0,10,10,1.0
judicial_analysis.judicial_framing,secondary,list,6,7,14,20,13,0.46153846153846156,0.3,0.3636363636363637,10,0,0.0
