column,source,description
doc_id,merge,Stable document identifier used across all inputs.
in_flat,merge,Merge key or source-presence flag.
in_final_jsonl,merge,Merge key or source-presence flag.
in_raw_index,merge,Merge key or source-presence flag.
in_raw_text,merge,Merge key or source-presence flag.
in_regex_text,merge,Merge key or source-presence flag.
in_regex_index,merge,Merge key or source-presence flag.
index_title,data/raw/data-index.json,Raw index metadata copied from the original index file.
index_case_cause,data/raw/data-index.json,Raw index metadata copied from the original index file.
index_case_number,data/raw/data-index.json,Raw index metadata copied from the original index file.
index_close_date,data/raw/data-index.json,Raw index metadata copied from the original index file.
index_court_name,data/raw/data-index.json,Raw index metadata copied from the original index file.
index_court_level,data/raw/data-index.json,Raw index metadata copied from the original index file.
index_procedure,data/raw/data-index.json,Raw index metadata copied from the original index file.
index_row_index,data/raw/data-index.json,Raw index metadata copied from the original index file.
case_number,data/processed/analysis_data/final_all_flat.csv,Existing flat analysis variable from the old workflow.
court_name,data/processed/analysis_data/final_all_flat.csv,Existing flat analysis variable from the old workflow.
court_level,data/processed/analysis_data/final_all_flat.csv,Existing flat analysis variable from the old workflow.
judgment_date,data/processed/analysis_data/final_all_flat.csv,Existing flat analysis variable from the old workflow.
first_instance_case_number,data/processed/analysis_data/final_all_flat.csv,Existing flat analysis variable from the old workflow.
region,data/processed/analysis_data/final_all_flat.csv,Existing flat analysis variable from the old workflow.
doc_type,data/processed/analysis_data/final_all_flat.csv,Existing flat analysis variable from the old workflow.
case_type_primary,data/processed/analysis_data/final_all_flat.csv,Existing flat analysis variable from the old workflow.
case_type_secondary,data/processed/analysis_data/final_all_flat.csv,Existing flat analysis variable from the old workflow.
procedure_stage,data/processed/analysis_data/final_all_flat.csv,Existing flat analysis variable from the old workflow.
is_appeal,data/processed/analysis_data/final_all_flat.csv,Existing flat analysis variable from the old workflow.
plaintiff_types,data/processed/analysis_data/final_all_flat.csv,Existing flat analysis variable from the old workflow.
defendant_types,data/processed/analysis_data/final_all_flat.csv,Existing flat analysis variable from the old workflow.
vc_involved,data/processed/analysis_data/final_all_flat.csv,Existing flat analysis variable from the old workflow.
currency_types,data/processed/analysis_data/final_all_flat.csv,Existing flat analysis variable from the old workflow.
