doc_id,status,model,temperature,案件金额_一审,金额类型_一审,金额依据_一审,案件类型_一审,具体案由_一审,是否涉及虚拟货币_一审,典型虚拟货币_一审,币种_一审,涉币活动类型_一审,法律定性_一审,财产属性_一审,直接合同效力_一审,间接合同效力_一审,无效/不保护理由_一审,引用法律_一审,监管政策_一审,政策标签_一审,司法裁判框架_一审,裁判结果摘要_一审,裁判理由摘要_一审,低置信字段_一审,案件金额_二审,金额类型_二审,金额依据_二审,案件类型_二审,具体案由_二审,是否涉及虚拟货币_二审,典型虚拟货币_二审,币种_二审,涉币活动类型_二审,法律定性_二审,财产属性_二审,直接合同效力_二审,间接合同效力_二审,无效/不保护理由_二审,引用法律_二审,监管政策_二审,政策标签_二审,司法裁判框架_二审,裁判结果摘要_二审,裁判理由摘要_二审,低置信字段_二审,二审处理结果,最终生效审级,最终采用字段后缀,裁判理由是否变化,裁判结果是否变化,是否仅程序性处理,一二审变化字段
9a5d1f77-954f-4168-9aec-455c8e33b623,ok,deepseek-v4-pro,0,638520,原告诉请本金,请求判令徐某1立即支付上述两套房屋的购房款638520元及迟延支付的利息或退还房屋,民事,商品房销售合同纠纷,false,否,[],[],商品房销售合同关系,[],,,[],"[""《中华人民共和国合同法》第四十四条第一款"",""《中华人民共和国合同法》第六十条第一款"",""《中华人民共和国民事诉讼法》第六十四条第一款""]",[],[],[],驳回国贸公司的诉讼请求。,国贸公司提供的证据不足以证明双方存在商品房买卖关系及徐某1未支付购房款。,[],638520,原告诉请本金,上诉请求：改判支持上诉人的原审诉讼请求（支付购房款638520元）,民事,商品房销售合同纠纷,false,否,[],[],商品房销售合同关系,[],,,[],"[""《中华人民共和国民事诉讼法》第一百七十条第（一）项""]",[],[],[],驳回上诉，维持原判。,补充协议不符合商品房买卖合同成立要件，且国贸公司主张存在多处矛盾，无法认定商品房买卖关系成立。,[],驳回上诉、维持原判,一审,_first_instance,false,false,false,[]
759bccb2-cd61-44ad-944f-ace2646f553f,ok,deepseek-v4-pro,0,350000,借款本金,原告请求被告偿还借款350000元,民事,民间借贷纠纷,true,是,"[""比特币""]","[""委托理财/代投""]",以委托理财为表现形式的借贷关系,[],,有效,[],"[""《中华人民共和国合同法》第六十条"",""《中华人民共和国合同法》第九十三条"",""《中华人民共和国合同法》第九十六条"",""《关于人民法院审理借贷案件的若干意见》第六条"",""《中华人民共和国民事诉讼法》第一百四十四条""]",[],[],"[""返还本金或原物""]",解除借款合同，被告偿还借款350000元及利息,双方形成以委托理财为表现形式的借贷关系，借款合同有效，被告违约，应偿还借款本息,[],,,,,,,,[],[],,[],,,[],[],[],[],[],,,[],,一审,_first_instance,,,,[]
9870884f-9190-407e-855d-ae4984bf5c4b,ok,deepseek-v4-pro,0,7500,原告诉请本金,"请求法院判令被告:2、赔偿原告经济损失5000元、为调查被告侵权行为和起诉被告所支出的合理费用2500元,合计人民币7500元",民事,著作权权属、侵权纠纷,false,否,[],[],著作权侵权,[],,,[],"[""《中华人民共和国著作权法》第十条第一款第（十二）项"",""《中华人民共和国著作权法》第三十八条"",""《中华人民共和国著作权法》第四十二条"",""《中华人民共和国著作权法》第四十八条第（一）、（三）、（四）项"",""《中华人民共和国著作权法》第四十九条"",""XX人民法院《关于审理著作权民事纠纷案件适用法律若干问题的解释》第七条"",""XX人民法院《关于审理著作权民事纠纷案件适用法律若干问题的解释》第二十五条"",""XX人民法院《关于审理著作权民事纠纷案件适用法律若干问题的解释》第二十六条第一款"",""《中华人民共和国民事诉讼法》第六十四条第一款""]",[],[],[],被告赔偿原告经济损失及合理开支人民币1500元，驳回其他诉讼请求,原告享有涉案歌曲的独占性信息网络传播权，被告未经许可提供在线播放、下载服务，构成侵权，应承担赔偿责任,[],,,,,,,,[],[],,[],,,[],[],[],[],[],,,[],,一审,_first_instance,,,,[]
a6a3c5c2-03a7-4bfb-834e-9cef1a05c5dc,ok,deepseek-v4-pro,0,65500,其他,一、阿里公司赔偿玄霆公司经济损失（含合理开支）人民币65500元,民事,侵害作品信息网络传播权纠纷,false,否,[],[],侵害作品信息网络传播权,[],,,[],"[""《中华人民共和国著作权法》第三条第（一）项"",""《中华人民共和国著作权法》第十条第一款第（十二）项"",""《中华人民共和国著作权法》第四十八条第（一）项"",""《中华人民共和国著作权法》第四十九条"",""《最高人民法院关于审理侵害信息网络传播权民事纠纷案件适用法律若干问题的规定》第三条"",""《最高人民法院关于审理著作权民事纠纷案件适用法律若干问题的解释》第七条"",""《最高人民法院关于审理著作权民事纠纷案件适用法律若干问题的解释》第二十五条"",""《最高人民法院关于审理著作权民事纠纷案件适用法律若干问题的解释》第二十六条""]",[],[],[],阿里公司赔偿玄霆公司经济损失（含合理开支）人民币65500元，驳回玄霆公司其他诉讼请求。,玄霆公司享有涉案作品信息网络传播权；阿里公司在其经营的网站上提供涉案作品，构成侵权；综合考量作品类型、字数、收费模式、侵权行为性质及合理费用等因素酌情确定赔偿额。,[],65500,其他,驳回上诉，维持原判。二审案件受理费人民币1438元，由上诉人杭州阿里科技有限公司负担。,民事,侵害作品信息网络传播权纠纷,false,否,[],[],侵害作品信息网络传播权,[],,,[],"[""《中华人民共和国民事诉讼法》第一百七十条第一款第（一）项"",""《中华人民共和国民事诉讼法》第一百七十五条""]",[],[],[],驳回上诉，维持原判。,玄霆公司享有涉案作品信息网络传播权；阿里公司未经许可通过信息网络提供涉案作品，构成直接侵权；原审法院酌情确定赔偿数额并无不当。,[],驳回上诉、维持原判,一审,_first_instance,false,false,false,[]
6d019840-f0c4-4a2e-8907-2148206705b0,ok,deepseek-v4-pro,0,70000,原告诉请本金,原告金昊公司诉请判令两被告退还原告金昊公司保证金人民币70000元,民事,技术服务合同纠纷,false,否,[],[],技术服务合同关系,[],有效,,[],"[""《中华人民共和国合同法》第八条"",""《中华人民共和国合同法》第一百一十四条"",""《中华人民共和国民事诉讼法》第六十四条第一款""]",[],[],"[""合同有效"",""违约金""]",驳回某公司1的诉讼请求。,《天猫服务协议》和《淘宝规则》合法有效，原告销售水货和发布非约定商品构成违约，两被告有权依约扣划保证金作为违约金，且违约金数额合理。,[],,,,,,,,[],[],,[],,,[],[],[],[],[],,,[],,一审,_first_instance,,,,[]
10dad798-4d73-4a4e-91a2-37af0a32f44a,ok,deepseek-v4-pro,0,20000,原告诉请本金,原告华强数字动漫公司诉请判令被告赔偿原告经济损失人民币20000元,民事,著作权侵权纠纷,false,否,[],[],著作权侵权,[],,,[],"[""《中华人民共和国著作权法》第四十八条第(一)项"",""《中华人民共和国著作权法》第四十九条"",""《最高人民法院关于审理著作权民事纠纷案件适用法律若干问题的解释》第七条"",""《最高人民法院关于审理著作权民事纠纷案件适用法律若干问题的解释》第二十五条第一款和第二款"",""《最高人民法院关于审理著作权民事纠纷案件适用法律若干问题的解释》第二十六条"",""《中华人民共和国民事诉讼法》第六十四条第一款""]",[],[],[],被告赔偿原告经济损失及合理费用共计3050元，驳回其他诉讼请求,原告享有涉案作品著作权，被告未经许可提供含侵权角色形象的游戏，构成侵权，应承担赔偿责任,[],,,,,,,,[],[],,[],,,[],[],[],[],[],,,[],,一审,_first_instance,,,,[]
3743db14-446a-4f0e-93bc-8ecf738b40c8,ok,deepseek-v4-pro,0,186130,原告诉请本金,颜某某向一审法院起诉请求:请求判令被告张某某返还不当得利款人民币186130元,民事,不当得利纠纷,true,是,"[""虚拟货币""]","[""买卖/兑换""]",不当得利,[],,,[],"[""《中华人民共和国民法通则》第九十二条"",""《中华人民共和国民事诉讼法》第一百四十二条""]",[],[],"[""返还本金或原物""]",被告张某某返还原告颜某某不当得利款人民币186130元。,被告张某某没有合法根据取得原告颜某某的186130元，构成不当得利，应予返还。,[],186130,原告诉请本金,"张某某上诉请求:请求二审撤销原判,依法驳回被上诉人的全部诉讼请求。被上诉人颜某某辩称:原审认定事实清楚,适用法律正确,请求二审维持原判。",民事,不当得利纠纷,true,是,"[""虚似货币""]","[""买卖/兑换""]",不当得利,[],,,[],"[""《中华人民共和国民事诉讼法》第一百七十条第一款第(一)项""]",[],[],"[""返还本金或原物""]",驳回上诉，维持原判。,上诉人未能举证证明其将涉案资金用于为被上诉人购买虚拟货币，应承担不利后果，原审判决正确。,[],驳回上诉、维持原判,一审,_first_instance,false,false,false,[]
da87dd32-fbf4-43e8-a074-383cb8ada1fb,ok,deepseek-v4-pro,0,376056,违法解除劳动关系赔偿金,新聚思公司应向马某某支付违法解除劳动关系赔偿金376056元,民事,劳动争议,true,是,"[""比特币""]","[""挖矿""]",劳动争议,[],,,[],"[""《中华人民共和国劳动合同法》第四十七条"",""《中华人民共和国劳动合同法》第八十七条"",""《中华人民共和国民事诉讼法》第六十四条""]",[],[],[],新聚思公司支付违法解除劳动关系赔偿金376056元,新聚思公司解除劳动关系依据不足，存在违法情形，应支付赔偿金,[],376056,违法解除劳动关系赔偿金,本案一审判决认定新聚思公司解除行为违法并判令其承担支付赔偿金责任，应属正确,民事,劳动争议,true,是,"[""比特币""]","[""挖矿""]",劳动争议,[],,,[],"[""《中华人民共和国民事诉讼法》第一百七十条第一款第（一）项""]",[],[],[],驳回上诉，维持原判,仅凭公证书不足以证实马某某存在违纪事实，解除行为缺乏事实依据，一审判决正确,[],驳回上诉、维持原判,一审,_first_instance,false,false,false,[]
426a6db6-bce8-45fa-8c51-8ea75c94c155,ok,deepseek-v4-pro,0,1000000,原告诉请本金,请求判令兴旺公司、天猫公司、淘宝公司：...3.赔偿其经济损失100万元,民事,侵害实用新型专利权纠纷,false,否,[],[],侵害实用新型专利权,[],,,[],"[""《中华人民共和国专利法》第五十九条第一款"",""《最高人民法院关于审理专利纠纷案件适用法律问题的若干规定》第十七条"",""《最高人民法院关于审理侵犯专利权纠纷案件应用法律若干问题的解释》第六条"",""《最高人民法院关于审理侵犯专利权纠纷案件应用法律若干问题的解释》第七条"",""《中华人民共和国民事诉讼法》第六十四条""]",[],[],[],驳回东辰公司的全部诉讼请求。,被诉侵权产品未落入涉案专利权保护范围，不构成侵权。,[],1000000,原告诉请本金,东辰公司上诉请求：...改判支持其全部诉讼请求（含一审100万元赔偿）,民事,侵害实用新型专利权纠纷,false,否,[],[],侵害实用新型专利权,[],,,[],"[""《中华人民共和国民事诉讼法》第一百七十条第一款第（一）项""]",[],[],[],驳回上诉，维持原判。,被诉侵权产品的圆柱与涉案专利十字卡柱技术特征既不相同也不等同，未落入保护范围，原判认定正确。,[],驳回上诉、维持原判,一审,_first_instance,false,false,false,[]
77318165-c17b-4e0c-b9d5-22b3b1c87b72,ok,deepseek-v4-pro,0,500,原告诉请本金,原告陈某某向原审法院提出的诉讼请求为：1、判令被告赔偿原告三倍货款共计5292元；2、本案诉讼费由被告承担。庭审中，原告变更其诉讼请求为主张被告赔偿原告500元,民事,买卖合同纠纷,false,否,[],[],买卖合同关系,[],有效,,[],"[""《中华人民共和国消费者权益保护法》第十六条"",""《中华人民共和国民事诉讼法》第六十四条""]",[],[],"[""合同有效"",""返还本金或原物""]",被告某公司应于判决生效之日起五日内向原告陈某某赔偿人民币500元。,原告与商家买卖合同有效，商家未按约定发货构成违约，应依天猫规则赔付500元；天猫公司作为平台应先行垫付。,[],500,原告诉请本金,上诉人天猫公司不服原审判决，向本院提起上诉，请求撤销原审判决，依法改判或发回重审。,民事,买卖合同纠纷,false,否,[],[],买卖合同关系,[],,,[],"[""《中华人民共和国民事诉讼法》第一百七十条第一款第（一）项""]",[],[],"[""合同有效"",""返还本金或原物""]",驳回上诉，维持原判。,天猫公司先行垫赔承诺适用于本案，原审判决实体处理适当，予以维持。,[],驳回上诉、维持原判,一审,_first_instance,false,false,false,[]
